Cohort,c_eta,y_eta,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10,Std1,Std2,Std3,Std4,Std5,Std6,Std7,Std8,Std9,Std10
2008,0.260868,0.450795,0.142730145,0.30921385,0.649304099,0.855631691,1.494515681,1.637061037,1.893703329,1.895676996,1.855383975,2.204004772,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
2009,0.592164,-0.240368,0.205455636,0.235282998,0.56564265,0.959992362,1.249407364,1.835229447,2.002385991,2.150761488,2.186739338,2.208452275,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
2010,0.58716,-0.003717,0.133103867,0.32712016,0.572579872,0.972174448,1.266693631,1.482913915,1.674452158,2.036449611,2.329419409,2.190752105,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
2011,0.415724,-1.251611,0.141427535,0.47274874,0.593336332,0.832810527,1.106968844,1.274923522,1.408851282,1.631702129,1.99935769,1.913043675,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
2012,0.886225,0.173461,0.194295098,0.293701738,0.792707672,0.981564714,1.14532145,1.425256129,1.599767668,1.869041945,2.050506739,2.23678485,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
2013,1.085418,0.041841,0.140374814,0.561067342,0.684550648,1.141141418,1.322524133,1.467289476,1.641066324,1.801305397,1.913372354,2.166796704,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
2014,1.086011,-2.784098,0.103523838,0.244900113,0.749487394,0.865187037,1.091819395,1.362390896,1.481666356,1.632223569,1.720200993,1.825725953,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
2015,1.094788,-1.562049,0.141427535,0.348681651,0.501778739,0.859941965,0.99317077,1.141306856,1.392884449,1.527365529,1.650286727,1.783245441,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
2016,0.838317,-5.280341,0.141427535,0.401839263,0.473211157,0.533522608,0.705376236,0.825033473,1.035211885,1.17147728,1.169212719,1.178973029,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
2017,0.581169,-1.051714,0.141427535,0.401839263,0.614814305,0.605840607,0.644414891,0.804927006,0.890236987,0.967078598,1.024895453,1.403120777,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
2018,0.155387,-1.822009,0.098185977,0.372471096,0.478848713,0.592680236,0.725704828,0.769031106,0.825355548,1.002979177,1.003739611,1.135322706,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
2019,0.519552,-0.752895,0.111403863,0.299775999,0.521769317,0.624264763,0.814626363,0.816310593,0.837827089,0.869272349,1.071060675,1.022276221,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
2020,0.441173,-1.053133,0.201806603,0.310374821,0.422820371,0.615965901,0.796360028,0.94358802,0.942009983,0.954044044,0.94312406,0.948047899,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
2021,-0.357581,-0.344122,0.10706,0.36751,0.53038,0.61153,0.73377,1.05364,0.96492,1.00808,1.01512,1.04373,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
2022,0.002521,-0.395669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
