Cohort,c_eta,y_eta,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10,Std1,Std2,Std3,Std4,Std5,Std6,Std7,Std8,Std9,Std10
1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,-0.351617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,-0.398292,-0.453561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,-0.06494,-0.790435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,0.061364,-0.877582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,0.281658,-0.871983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,-0.137844,-0.765641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,-0.33137,-0.748284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,0.071908,-0.860201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,0.296029,-0.828416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,0.449746,-0.701477,0.103282684,0.225491798,0.411956469,0.547188562,0.738340462,0.927424535,1.019716581,1.141782718,1.141782718,1.141782718,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
1976,-0.576754,-4.792093,0.103282684,0.237404354,0.325437301,0.425801165,0.492631347,0.566737,0.824938465,0.863874104,0.809645701,0.843491571,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
1977,-0.065351,-0.61521,0.072434885,0.176339903,0.441749563,0.524805664,0.616428456,0.658454246,0.731663949,0.908074998,0.893513282,0.955226376,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
1978,0.441966,-1.064491,0.100197635,0.139962035,0.322470224,0.574375477,0.616076939,0.68548085,0.74156626,0.841899253,0.896243624,0.928847313,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
1979,0.630077,-0.660238,0.098985853,0.276767546,0.375835277,0.484524838,0.701359986,0.796158295,0.827369177,0.890326129,1.016583046,1.110957706,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
1980,0.67053,-0.868165,0.090858509,0.18776752,0.487240882,0.559490797,0.635105194,0.774170582,0.884620079,0.931740579,0.956934034,1.031681872,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
1981,0.781912,-0.991382,0.162883937,0.274915505,0.502175661,0.685895094,0.68721537,0.769475458,0.87551022,0.966940298,0.969033638,1.210933785,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
1982,0.606624,-1.938484,0.071611552,0.297004626,0.415637215,0.582179062,0.690575452,0.66458999,0.730050233,0.951224236,0.990535747,1.051032631,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
1983,0.335667,-1.530818,0.103282684,0.242284563,0.452117496,0.507314023,0.635394313,0.686300216,0.689265183,0.787300691,0.918611536,1.07758049,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
1984,0.248585,-0.242611,0.133503445,0.333641864,0.539067402,0.723536533,0.745854408,0.814692387,0.853524597,0.894686109,0.992508569,1.128537761,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
1985,-0.574686,-1.997293,0.120721464,0.151844571,0.480735506,0.627665595,0.711046662,0.812661048,0.874041112,0.937110113,0.985446842,1.15621707,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
1986,0.096766,-0.426099,0.078346878,0.153211815,0.46414985,0.716636277,0.791330454,0.8923493,0.902225794,0.951483074,1.010331824,1.072880812,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
1987,-0.403321,-0.359292,0.123498513,0.272132191,0.549444147,0.684337545,0.895695996,1.003219002,1.071260588,1.096534716,1.132938788,1.102075204,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
1988,-3.219778,-1.330812,0.15950177,0.151989299,0.43338957,0.532158409,0.805745397,0.997313127,1.165125082,1.331248726,1.394957358,1.410399713,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
1989,-1.074985,-0.899369,0.067513177,0.200688581,0.328559002,0.549670687,0.667090397,0.883248035,1.105442016,1.220624706,1.366180132,1.458578293,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
1990,0.058135,-0.129016,0.123498513,0.137014883,0.248199445,0.536419736,0.866897544,0.979705796,1.135471081,1.377139737,1.627463344,1.762919473,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
1991,0.204014,-0.741512,0.123498513,0.262126557,0.423315282,0.581693903,0.721143218,0.942854027,1.10355313,1.189141227,1.295887089,1.542439629,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
1992,0.333655,-1.055401,0.120763227,0.238096473,0.374649717,0.566179795,0.621417586,0.807034807,1.060017217,1.179137299,1.18809357,1.417292773,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
1993,0.201347,-0.072065,0.135975444,0.282216152,0.550426082,0.687794686,0.781851204,0.841583271,1.048084123,1.20242786,1.250063019,1.356161886,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
1994,-0.105155,-0.399747,0.141083958,0.192535638,0.471176852,0.742830254,0.871559023,0.999530766,1.079741145,1.229662531,1.325233533,1.432642024,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
1995,0.164584,-0.176048,0.123498513,0.302236096,0.623041034,0.966436944,1.049728239,1.107358577,1.197770661,1.291907263,1.346406023,1.440023849,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
1996,0.386455,-1.163954,0.123498513,0.249334212,0.354662128,0.669968796,1.009585976,1.102213503,1.179079079,1.238441815,1.283956533,1.409697182,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
1997,0.199534,-0.433798,0.123498513,0.235855583,0.379889818,0.659349074,0.948437443,1.161024226,1.232719943,1.274091568,1.297327238,1.358043861,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
1998,-0.601489,-1.242059,0.096742208,0.248107684,0.472014987,0.571341482,0.817341432,0.983038161,1.218760885,1.325383069,1.360075989,1.409369243,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
1999,-2.96802,-0.454575,0.123498513,0.322845756,0.533454766,0.704399598,0.756574711,0.914067923,1.048830245,1.195782778,1.312904642,1.378364179,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
2000,-0.448793,-0.008992,0.15711325,0.311791722,0.433896689,0.772716846,0.99076192,0.998059169,1.202138997,1.271372609,1.455505901,1.662876578,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
2001,0.573125,-0.411854,0.108068002,0.292298734,0.441633756,0.700753516,1.003244719,1.207925343,1.285754958,1.472627575,1.540211131,1.723733637,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
2002,0.505005,-0.796476,0.14502503,0.315679645,0.479679153,0.615388453,0.898157778,1.050356931,1.146101535,1.262520635,1.362846576,1.522100906,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
2003,0.071636,-0.787378,0.136193985,0.368808534,0.545553199,0.507114652,0.714954495,1.049106401,1.242083429,1.4300654,1.51063624,1.699691822,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
2004,-0.634325,-0.68976,0.112014138,0.258997916,0.507311804,0.72023247,0.676901443,0.896248012,1.123050065,1.262323273,1.337504099,1.746986174,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
2005,-4.850484,-0.027171,0.1267352,0.274711748,0.446333674,0.789963242,1.00475337,0.97686158,0.920775947,1.304659485,1.385055042,1.484717422,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
2006,-0.805231,0.120992,0.129242102,0.260477557,0.565913617,0.973905704,1.229316197,1.241768108,1.243367694,1.358142467,1.424484587,1.652551623,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
2007,-1.070005,-0.410094,0.126800511,0.345498297,0.46923113,0.884842318,1.194575995,1.385286827,1.546757546,1.634209226,1.749210024,1.940356092,0.059,0.033,0.017,0.009,0.007,0.011,0.019,0.031,0.044,0.059
